# nbar bbar snr_ps snr_pb
3.572626e-02 7.380265e-01 2.286899e-01 6.885693e+00
3.152719e-02 7.429928e-01 2.222699e-01 6.442498e+00
2.781378e-02 7.485767e-01 2.156282e-01 5.987645e+00
2.453037e-02 7.548422e-01 2.088141e-01 5.525818e+00
2.162715e-02 7.618606e-01 2.018832e-01 5.062512e+00
1.906090e-02 7.697083e-01 1.948996e-01 4.603940e+00
1.679232e-02 7.784724e-01 1.879309e-01 4.156263e+00
1.478773e-02 7.882442e-01 1.810526e-01 3.725493e+00
1.301624e-02 7.991294e-01 1.743406e-01 3.316607e+00
1.120908e-02 8.133837e-01 1.668297e-01 2.872660e+00
9.855228e-03 8.270811e-01 1.607570e-01 2.523534e+00
8.659996e-03 8.422863e-01 1.551077e-01 2.205226e+00
7.604798e-03 8.591563e-01 1.499568e-01 1.918459e+00
6.673728e-03 8.778549e-01 1.453759e-01 1.663657e+00
5.852293e-03 8.985706e-01 1.414256e-01 1.441041e+00
5.127938e-03 9.215046e-01 1.381559e-01 1.251225e+00
4.489399e-03 9.468827e-01 1.356013e-01 1.095404e+00
3.839721e-03 9.799113e-01 1.335474e-01 9.591691e-01
3.354588e-03 1.011468e+00 1.325793e-01 8.839174e-01
2.927565e-03 1.046347e+00 1.323211e-01 8.481438e-01
2.551946e-03 1.084881e+00 1.327360e-01 8.504291e-01
2.221694e-03 1.127455e+00 1.337736e-01 8.866946e-01
1.931604e-03 1.174473e+00 1.353736e-01 9.514931e-01
1.676912e-03 1.226408e+00 1.374699e-01 1.039763e+00
1.453565e-03 1.283754e+00 1.399926e-01 1.147763e+00
1.227650e-03 1.358277e+00 1.433831e-01 1.295967e+00
1.060108e-03 1.429389e+00 1.465948e-01 1.441180e+00
9.136135e-04 1.507952e+00 1.500226e-01 1.603566e+00
7.857293e-04 1.594727e+00 1.536062e-01 1.784119e+00
6.742065e-04 1.690627e+00 1.572923e-01 1.984433e+00
5.771240e-04 1.796608e+00 1.610298e-01 2.206315e+00
4.927313e-04 1.913792e+00 1.647736e-01 2.451880e+00
4.195093e-04 2.043396e+00 1.684811e-01 2.723267e+00
3.463979e-04 2.212153e+00 1.727095e-01 3.075419e+00
2.929304e-04 2.373630e+00 1.762095e-01 3.410025e+00
2.468517e-04 2.552498e+00 1.795594e-01 3.776696e+00
2.072388e-04 2.750766e+00 1.827283e-01 4.176700e+00
1.732857e-04 2.970640e+00 1.856856e-01 4.610457e+00
1.442636e-04 3.214717e+00 1.884035e-01 5.077529e+00
1.195478e-04 3.485767e+00 1.908536e-01 5.575677e+00
9.856602e-05 3.787151e+00 1.930101e-01 6.101014e+00
7.816081e-05 4.181858e+00 1.951195e-01 6.738661e+00
6.365933e-05 4.562089e+00 1.965514e-01 7.294323e+00
5.152308e-05 4.985906e+00 1.976101e-01 7.841420e+00
4.141383e-05 5.459031e+00 1.982734e-01 8.357862e+00
3.304485e-05 5.987507e+00 1.985196e-01 8.812999e+00
2.615638e-05 6.578710e+00 1.983295e-01 9.166595e+00
2.052684e-05 7.240592e+00 1.976863e-01 9.366053e+00
1.595895e-05 7.982616e+00 1.965765e-01 9.345618e+00
1.174627e-05 8.963707e+00 1.946801e-01 8.940332e+00
