# nbar bbar snr_ps snr_pb
1.003774e-01 7.707709e-01 3.503844e-02 4.261450e-01
9.025771e-02 7.762777e-01 3.434538e-02 4.099652e-01
7.942896e-02 7.835673e-01 3.347249e-02 3.895914e-01
7.138559e-02 7.902582e-01 3.271394e-02 3.718671e-01
6.277976e-02 7.990937e-01 3.177170e-02 3.497883e-01
5.639001e-02 8.071838e-01 3.096526e-02 3.308010e-01
4.955495e-02 8.178451e-01 2.998004e-02 3.074327e-01
4.448174e-02 8.275878e-01 2.915225e-02 2.875971e-01
3.905718e-02 8.404029e-01 2.816184e-02 2.635357e-01
3.427693e-02 8.545507e-01 2.718875e-02 2.394342e-01
3.073073e-02 8.674489e-01 2.640293e-02 2.195398e-01
2.694167e-02 8.843753e-01 2.550550e-02 1.962311e-01
2.413253e-02 8.997848e-01 2.480861e-02 1.776234e-01
2.113237e-02 9.199839e-01 2.405015e-02 1.568507e-01
1.890945e-02 9.383525e-01 2.349612e-02 1.414604e-01
1.653699e-02 9.624047e-01 2.294036e-02 1.263358e-01
1.478020e-02 9.842587e-01 2.257887e-02 1.175099e-01
1.290684e-02 1.012847e+00 2.227778e-02 1.126700e-01
1.126083e-02 1.044244e+00 2.212883e-02 1.148144e-01
1.004362e-02 1.072737e+00 2.212302e-02 1.217274e-01
8.747144e-03 1.109980e+00 2.225583e-02 1.351876e-01
7.789351e-03 1.143760e+00 2.247790e-02 1.497891e-01
6.770313e-03 1.187891e+00 2.286808e-02 1.704072e-01
6.018249e-03 1.227906e+00 2.328625e-02 1.896464e-01
5.219155e-03 1.280159e+00 2.388517e-02 2.148083e-01
4.630083e-03 1.327536e+00 2.445324e-02 2.373597e-01
4.005095e-03 1.389384e+00 2.520208e-02 2.662661e-01
3.459099e-03 1.457198e+00 2.600823e-02 2.972542e-01
3.057658e-03 1.518663e+00 2.671196e-02 3.247629e-01
2.632714e-03 1.598926e+00 2.758222e-02 3.599761e-01
2.320816e-03 1.671694e+00 2.831976e-02 3.913144e-01
1.991354e-03 1.766724e+00 2.920925e-02 4.315409e-01
1.750013e-03 1.852917e+00 2.994711e-02 4.674443e-01
1.495691e-03 1.965510e+00 3.082012e-02 5.136252e-01
1.309841e-03 2.067684e+00 3.153188e-02 5.549019e-01
1.114511e-03 2.201223e+00 3.236045e-02 6.080166e-01
9.457706e-04 2.347870e+00 3.315526e-02 6.653069e-01
8.230572e-04 2.481048e+00 3.378756e-02 7.164101e-01
6.947106e-04 2.655311e+00 3.450579e-02 7.819416e-01
6.016933e-04 2.813724e+00 3.506750e-02 8.401727e-01
5.047930e-04 3.021170e+00 3.569348e-02 9.144452e-01
4.348551e-04 3.209942e+00 3.617260e-02 9.800233e-01
3.623215e-04 3.457414e+00 3.669315e-02 1.063014e+00
3.102307e-04 3.682832e+00 3.707938e-02 1.135605e+00
2.564755e-04 3.978764e+00 3.748296e-02 1.226484e+00
2.110496e-04 4.305332e+00 3.781821e-02 1.320906e+00
1.787167e-04 4.603453e+00 3.804330e-02 1.401732e+00
1.456795e-04 4.995611e+00 3.824566e-02 1.500322e+00
1.223285e-04 5.354190e+00 3.835601e-02 1.582916e+00
9.864751e-05 5.826678e+00 3.841612e-02 1.681032e+00
8.204901e-05 6.259382e+00 3.840426e-02 1.760564e+00
6.535909e-05 6.830711e+00 3.831360e-02 1.851153e+00
5.377423e-05 7.354810e+00 3.817298e-02 1.920573e+00
4.224110e-05 8.048337e+00 3.792450e-02 1.993639e+00
3.290467e-05 8.820348e+00 3.758794e-02 2.051749e+00
