# nbar bbar snr_ps snr_pb
1.003774e-01 7.707709e-01 3.405250e-01 5.313997e+00
9.025771e-02 7.762777e-01 3.349496e-01 5.127487e+00
7.942896e-02 7.835673e-01 3.279443e-01 4.891129e+00
7.138559e-02 7.902582e-01 3.218724e-01 4.684110e+00
6.277976e-02 7.990937e-01 3.143506e-01 4.424369e+00
5.639001e-02 8.071838e-01 3.079311e-01 4.199317e+00
4.955495e-02 8.178451e-01 3.001105e-01 3.920187e+00
4.448174e-02 8.275878e-01 2.935577e-01 3.681392e+00
3.905718e-02 8.404029e-01 2.857368e-01 3.389455e+00
3.427693e-02 8.545507e-01 2.780688e-01 3.094592e+00
3.073073e-02 8.674489e-01 2.718823e-01 2.849419e+00
2.694167e-02 8.843753e-01 2.648126e-01 2.560172e+00
2.413253e-02 8.997848e-01 2.593064e-01 2.327703e+00
2.113237e-02 9.199839e-01 2.532724e-01 2.066347e+00
1.890945e-02 9.383525e-01 2.488087e-01 1.870964e+00
1.653699e-02 9.624047e-01 2.442283e-01 1.676042e+00
1.478020e-02 9.842587e-01 2.411259e-01 1.558451e+00
1.290684e-02 1.012847e+00 2.383286e-01 1.485930e+00
1.126083e-02 1.044244e+00 2.365899e-01 1.497737e+00
1.004362e-02 1.072737e+00 2.359671e-01 1.570697e+00
8.747144e-03 1.109980e+00 2.362050e-01 1.723125e+00
7.789351e-03 1.143760e+00 2.372007e-01 1.893120e+00
6.770313e-03 1.187891e+00 2.393004e-01 2.136309e+00
6.018249e-03 1.227906e+00 2.417488e-01 2.364607e+00
5.219155e-03 1.280159e+00 2.454407e-01 2.663795e+00
4.630083e-03 1.327536e+00 2.490726e-01 2.931943e+00
4.005095e-03 1.389384e+00 2.539976e-01 3.275299e+00
3.459099e-03 1.457198e+00 2.594338e-01 3.642839e+00
3.057658e-03 1.518663e+00 2.642717e-01 3.968715e+00
2.632714e-03 1.598926e+00 2.703545e-01 4.385519e+00
2.320816e-03 1.671694e+00 2.755852e-01 4.756343e+00
1.991354e-03 1.766724e+00 2.819747e-01 5.232485e+00
1.750013e-03 1.852917e+00 2.873356e-01 5.657834e+00
1.495691e-03 1.965510e+00 2.937424e-01 6.205772e+00
1.309841e-03 2.067684e+00 2.990133e-01 6.696545e+00
1.114511e-03 2.201223e+00 3.051988e-01 7.329785e+00
9.457706e-04 2.347870e+00 3.111792e-01 8.015311e+00
8.230572e-04 2.481048e+00 3.159681e-01 8.629282e+00
6.947106e-04 2.655311e+00 3.214401e-01 9.420443e+00
6.016933e-04 2.813724e+00 3.257433e-01 1.012753e+01
5.047930e-04 3.021170e+00 3.305633e-01 1.103577e+01
4.348551e-04 3.209942e+00 3.342707e-01 1.184455e+01
3.623215e-04 3.457414e+00 3.383181e-01 1.287910e+01
3.102307e-04 3.682832e+00 3.413361e-01 1.379625e+01
2.564755e-04 3.978764e+00 3.445066e-01 1.496479e+01
2.110496e-04 4.305332e+00 3.471590e-01 1.620987e+01
1.787167e-04 4.603453e+00 3.489554e-01 1.730901e+01
1.456795e-04 4.995611e+00 3.505924e-01 1.870668e+01
1.223285e-04 5.354190e+00 3.515093e-01 1.994410e+01
9.864751e-05 5.826678e+00 3.520536e-01 2.152907e+01
8.204901e-05 6.259382e+00 3.520306e-01 2.294986e+01
6.535909e-05 6.830711e+00 3.514156e-01 2.480659e+01
5.377423e-05 7.354810e+00 3.504035e-01 2.651709e+01
4.224110e-05 8.048337e+00 3.485783e-01 2.883572e+01
3.290467e-05 8.820348e+00 3.460811e-01 3.155325e+01
