# nbar bbar snr_ps snr_pb
3.572626e-02 7.380265e-01 6.896417e-02 1.569663e+00
3.152719e-02 7.429928e-01 6.716106e-02 1.468062e+00
2.781378e-02 7.485767e-01 6.529926e-02 1.363718e+00
2.453037e-02 7.548422e-01 6.339339e-02 1.257756e+00
2.162715e-02 7.618606e-01 6.145971e-02 1.151494e+00
1.906090e-02 7.697083e-01 5.951688e-02 1.046412e+00
1.679232e-02 7.784724e-01 5.758432e-02 9.439757e-01
1.478773e-02 7.882442e-01 5.568359e-02 8.456041e-01
1.301624e-02 7.991294e-01 5.383608e-02 7.524693e-01
1.120908e-02 8.133837e-01 5.177825e-02 6.517028e-01
9.855228e-03 8.270811e-01 5.012289e-02 5.728098e-01
8.659996e-03 8.422863e-01 4.859060e-02 5.012541e-01
7.604798e-03 8.591563e-01 4.720082e-02 4.372183e-01
6.673728e-03 8.778549e-01 4.597157e-02 3.808170e-01
5.852293e-03 8.985706e-01 4.491749e-02 3.321184e-01
5.127938e-03 9.215046e-01 4.405014e-02 2.912600e-01
4.489399e-03 9.468827e-01 4.337685e-02 2.584630e-01
3.839721e-03 9.799113e-01 4.284045e-02 2.307740e-01
3.354588e-03 1.011468e+00 4.259220e-02 2.163407e-01
2.927565e-03 1.046347e+00 4.253265e-02 2.103794e-01
2.551946e-03 1.084881e+00 4.265172e-02 2.123118e-01
2.221694e-03 1.127455e+00 4.293628e-02 2.211834e-01
1.931604e-03 1.174473e+00 4.337080e-02 2.359220e-01
1.676912e-03 1.226408e+00 4.393849e-02 2.556070e-01
1.453565e-03 1.283754e+00 4.462148e-02 2.795861e-01
1.227650e-03 1.358277e+00 4.554059e-02 3.125469e-01
1.060108e-03 1.429389e+00 4.641308e-02 3.449734e-01
9.136135e-04 1.507952e+00 4.734651e-02 3.813928e-01
7.857293e-04 1.594727e+00 4.832487e-02 4.220609e-01
6.742065e-04 1.690627e+00 4.933386e-02 4.673604e-01
5.771240e-04 1.796608e+00 5.035958e-02 5.177209e-01
4.927313e-04 1.913792e+00 5.138963e-02 5.736433e-01
4.195093e-04 2.043396e+00 5.241213e-02 6.356407e-01
3.463979e-04 2.212153e+00 5.358107e-02 7.163598e-01
2.929304e-04 2.373630e+00 5.455078e-02 7.933277e-01
2.468517e-04 2.552498e+00 5.548064e-02 8.779812e-01
2.072388e-04 2.750766e+00 5.636166e-02 9.707325e-01
1.732857e-04 2.970640e+00 5.718504e-02 1.071854e+00
1.442636e-04 3.214717e+00 5.794271e-02 1.181501e+00
1.195478e-04 3.485767e+00 5.862638e-02 1.299527e+00
9.856602e-05 3.787151e+00 5.922860e-02 1.425575e+00
7.816081e-05 4.181858e+00 5.981790e-02 1.581613e+00
6.365933e-05 4.562089e+00 6.021788e-02 1.721603e+00
5.152308e-05 4.985906e+00 6.051334e-02 1.865241e+00
4.141383e-05 5.459031e+00 6.069788e-02 2.009909e+00
3.304485e-05 5.987507e+00 6.076534e-02 2.152009e+00
2.615638e-05 6.578710e+00 6.071026e-02 2.287112e+00
2.052684e-05 7.240592e+00 6.052796e-02 2.409615e+00
1.595895e-05 7.982616e+00 6.021472e-02 2.512864e+00
1.174627e-05 8.963707e+00 5.968072e-02 2.598553e+00
